score,path_1,path_2,title_1,title_2
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/eus/index.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/end-user-services-personal-dashboard-agent-installation-and-configuration.md,End-User Services & Workstation Agent installation guide,End-User Services & Workstation Agent Installation guide
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/interfacing_articles/architecture.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-system-structure-overview-kb4400.md,OpenLM System Architecture,OpenLM System Architecture
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/cleanup-manager.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-slm/openlm-easyadmin-user-interface-administration/cleanup-manager-module.md,Cleanup Manager module,Cleanup Manager module
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-sync-3.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/directory-sync/configuration.md,Directory Sync v2x Configuration,Directory Sync v2x configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-sync-3.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-2.md,Directory Sync v2x Configuration,Directory Sync v2x Configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-sync-3.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-3.md,Directory Sync v2x Configuration,Directory Sync v2x Configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-sync-3.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher.md,Directory Sync v2x Configuration,Directory Sync v2x Configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-2.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/directory-sync/configuration.md,Directory Sync v2x Configuration,Directory Sync v2x configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-3.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/directory-sync/configuration.md,Directory Sync v2x Configuration,Directory Sync v2x configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-3.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-2.md,Directory Sync v2x Configuration,Directory Sync v2x Configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/directory-sync/configuration.md,Directory Sync v2x Configuration,Directory Sync v2x configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-2.md,Directory Sync v2x Configuration,Directory Sync v2x Configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/directory-synchronization-comprehensive-guide-v21-and-higher-3.md,Directory Sync v2x Configuration,Directory Sync v2x Configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/monitoring-license-denials-kb4032-2.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-slm/openlm-easy-admin-user-interface-modules-and-reports/license-denials-reporting.md,License Denials Reporting,License Denials reporting
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-broker-installation-guide-comprehensive-kb4004b.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-broker-installation-guide-quick-reference-kb4004a.md,OpenLM Broker Installation Guide,OpenLM Broker Installation Guide
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-cloud-registration-installation-configuration.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/slmc/index.md,Software License Management Cloud Registration and Configuration Guide (SLMC),Software License Management Cloud registration and configuration guide (SLMC)
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-easyadmin-reports-scheduler-v21-and-higher.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-reports-scheduler/openlm-reports-scheduler-configuration.md,OpenLM Reports Scheduler Configuration,OpenLM Reports Scheduler configuration
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-server-installation-guide-kb4414.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-slm/index.md,OpenLM SLM Installation Guide,OpenLM SLM installation guide
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-server-installation-guide-v21-and-above.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-server-installation-guide-kb4414.md,OpenLM SLM Installation Guide,OpenLM SLM Installation Guide
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-server-installation-guide-v21-and-above.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-slm/index.md,OpenLM SLM Installation Guide,OpenLM SLM installation guide
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/products-and-packages-kb3022.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-slm/openlm-easyadmin-user-interface-administration/products-and-packages.md,Products and Packages,Products and Packages
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/roles-and-permission-groups-based-security-kb4006.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/roles-and-permission-groups-based-security-kb4006-2.md,OpenLM Roles & Permissions,OpenLM Roles & Permissions
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/the-easyadmin-web-application-kb4055.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-slm/the-openlm-easyadmin-user-interface.md,The OpenLM EasyAdmin User Interface,The OpenLM EasyAdmin User Interface
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-applications-manager/configure-applications-manager-to-track-actual-usage.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/configure-app-manager-track-actual-usage.md,Configure Applications Manager to track Actual Usage,Configure Applications Manager to Track Actual Usage
1.000,/Users/anamariagilca/projects/docs/docs/docs/legacy/openlm-applications-manager/index.md,/Users/anamariagilca/projects/docs/docs/docs/legacy/knowledge-base/openlm-applications-manager-v2-installation-configuration-guide-kb805.md,OpenLM Applications Manager installation guide,OpenLM Applications Manager Installation Guide
